$id$|$scode$|$sname$|$sname_full$|$stype_oilproduct$|$productasvcode$|$createdate$
$14$|$000132000006$|$Вода кислая УЗК$|$Вода кислая УЗК$|$PFAB$|$132000006$|$2020-11-24 15:26:13.7333333$
$15$|$000132000007$|$Вода кислая ГИДП$|$Вода кислая ГИДП$|$PFAB$|$132000007$|$2020-11-24 15:26:13.7333333$
$16$|$000132000008$|$Вода кислая ЭЛОУ-АВТ$|$Вода кислая ЭЛОУ-АВТ$|$PFAB$|$132000008$|$2020-11-24 15:26:13.7333333$
$17$|$000132000009$|$Вода отпаренная С-900 УГК$|$Вода отпаренная С-900 УГК$|$PFAB$|$132000009$|$2020-11-24 15:26:13.7333333$
$18$|$000135000003$|$Вода сырая из р. Иртыш$|$Вода сырая из реки Иртыш$|$PFAB$|$135000003$|$2020-11-24 15:26:13.7333333$
$19$|$000135000006$|$Кислые стоки$|$Кислые стоки$|$PFAB$|$135000006$|$2020-11-24 15:26:13.7333333$
$20$|$000135000010$|$Вода осветленная$|$Вода осветленная$|$PFAB$|$135000010$|$2020-11-24 15:26:13.7333333$
$21$|$000135000011$|$Вода водород-катион. 2 ст.$|$Вода водород-катионированная 2 ст.$|$PFAB$|$135000011$|$2020-11-24 15:26:13.7333333$
$22$|$000135000015$|$Вода теплофикационная прямая$|$Вода теплофикационная прямая$|$PFAB$|$135000015$|$2020-11-24 15:26:13.7333333$
$23$|$000135000016$|$Вода теплофикационная обратная$|$Вода теплофикационная обратная$|$PFAB$|$135000016$|$2020-11-24 15:26:13.7333333$
$24$|$000135000020$|$Химобессоленная вода ХВО-2$|$Химически обессоленная вода ХВО-2$|$PFAB$|$135000020$|$2020-11-24 15:26:13.7333333$
$25$|$000135000021$|$Химочищенная (умягчённая) вода ХВО-3$|$Химически очищенная (умягчённая) вода ХВО-3$|$PFAB$|$135000021$|$2020-11-24 15:26:13.7333333$
$26$|$000135000022$|$Подпитка ХОВ$|$Подпитка ХОВ$|$PFAB$|$135000022$|$2020-11-24 15:26:13.7333333$
$27$|$000135000023$|$Вода дренажная$|$Вода дренажная$|$PFAB$|$135000023$|$2020-11-24 15:26:13.7333333$
$28$|$000135000025$|$Очищенный конденсат ХВО-3$|$Очищенный конденсат ХВО-3$|$PFAB$|$135000025$|$2020-11-24 15:26:13.7333333$
$29$|$000135000030$|$Вода грунтовая$|$ Вода грунтовая из скважины$|$PFAB$|$135000030$|$2020-11-24 15:26:13.7333333$
$30$|$000135000031$|$Вода метанольная$|$Вода метанольная установки по производст ву сульфонатных присадок$|$PFAB$|$135000031$|$2020-11-24 15:26:13.7333333$
$31$|$000135000032$|$Вода реакционная$|$Вода реакционная для технологического  процесса установки по производству  сульфонатных присадок$|$PFAB$|$135000032$|$2020-11-24 15:26:13.7333333$
$32$|$000135000033$|$Вода с.400 КПА$|$Вода промывочная с.400 КПА$|$PFAB$|$135000033$|$2020-11-24 15:26:13.7333333$
$33$|$000135000034$|$Вода щелочная блока промывки сырья ГФУ-2$|$Вода щелочная блока промывки сырья установки ГФУ-2$|$PFAB$|$135000034$|$2020-11-24 15:26:13.7333333$
$34$|$000135000040$|$Вода оборотная$|$Вода оборотная$|$REAG$|$135000040$|$2020-11-24 15:26:13.7333333$
$35$|$000135000041$|$Конденсат паровой$|$Конденсат паровой$|$PFAB$|$135000041$|$2020-11-24 15:26:13.7333333$
$36$|$000135000042$|$Вода деминерализованная$|$Вода деминерализованная$|$REAG$|$135000042$|$2020-11-24 15:26:13.7333333$
$37$|$000135000043$|$Вода деминерализованная$|$Вода деминерализованная$|$REAG$|$135000043$|$2020-11-24 15:26:13.7333333$
$38$|$000135000044$|$Конденсат БОТК до очистки$|$Технологический конденсат БОТК до очистки$|$PFAB$|$135000044$|$2020-11-24 15:26:13.7333333$
$39$|$000135000045$|$Конденсат БОТК$|$Технологический конденсат, очищенный установки БОТК$|$PFAB$|$135000045$|$2020-11-24 15:26:13.7333333$
$40$|$000135000046$|$СЩС$|$Сульфидно-щелочные стоки установок$|$PFAB$|$135000046$|$2020-11-24 15:26:13.7333333$
$41$|$000200000000$|$Нефть,нефтепродукты,газ$|$Нефть,нефтепродукты,газ$|$NPR$|$200000000$|$2020-11-24 15:26:13.7333333$
$42$|$000200000003$|$ОБРАЗЕЦ С НДС+ГСМ$|$ОБРАЗЕЦ С НДС+ГСМ$|$NPR$|$200000003$|$2020-11-24 15:26:13.7333333$
$43$|$000200000008$|$Полуфабрикат собств. пр-ва$|$Полуфабрикат собств. пр-ва$|$PFAB$|$200000008$|$2020-11-24 15:26:13.7333333$
$44$|$000200000009$|$Полуфабрикаты купленные ЯНОС$|$Полуфабрикаты купленные ЯНОС$|$NPR$|$200000009$|$2020-11-24 15:26:13.7333333$
$45$|$000200000018$|$Полуфабрикаты купленные$|$Полуфабрикаты купленные$|$NPR$|$200000018$|$2020-11-24 15:26:13.7333333$
$46$|$000218110230$|$Одорант Лоит-2$|$Одорант Лоит-2$|$REAG$|$218110230$|$2020-11-24 15:26:13.7333333$
$47$|$000238990681$|$Масло Дизель Турбо SAE20 к. 4л (3 572г)$|$Масло Дизель Турбо SAE20 к. 4л (3 572г)$|$NPR$|$238990681$|$2020-11-24 15:26:13.7333333$
$48$|$000240000000$|$НЕФТЬ НА ЭКСПОРТ$|$НЕФТЬ НА ЭКСПОРТ$|$REAG$|$240000000$|$2020-11-24 15:26:13.7333333$
$49$|$000240000001$|$Нефть$|$Нефть$|$NPR$|$240000001$|$2020-11-24 15:26:13.7333333$
$50$|$000241000000$|$Нефть добытая$|$Нефть добытая$|$NPR$|$241000000$|$2020-11-24 15:26:13.7333333$
$51$|$000241000001$|$Нефть нестабильная$|$Нефть нестабильная$|$NPR$|$241000001$|$2020-11-24 15:26:13.7333333$
$52$|$000241010106$|$Конденсат газовый стабильный$|$Конденсат газовый стабильный$|$NPR$|$241010106$|$2020-11-24 15:26:13.7333333$
$53$|$000241010107$|$Конденсат газовый стабильный I группа$|$Конденсат газовый стабильный I группа$|$NPR$|$241010107$|$2020-11-24 15:26:13.7333333$
$54$|$000241010108$|$Конденсат газовый стабильный II группа$|$Конденсат газовый стабильный II группа$|$NPR$|$241010108$|$2020-11-24 15:26:13.7333333$
$55$|$000241010109$|$Конденсат газовый стабильный (КГС)$|$Конденсат газовый стабильный (КГС)$|$NPR$|$241010109$|$2020-11-24 15:26:13.7333333$
$56$|$000241010110$|$КГС смесевой$|$Конденсат газовый стабильный смесевой$|$NPR$|$241010110$|$2020-11-24 15:26:13.7333333$
$57$|$000241010111$|$Конденсат газ. стаб. (Томскгазпром)$|$Конденсат газовый стабильный$|$NPR$|$241010111$|$2020-11-24 15:26:13.7333333$
$58$|$000241010112$|$Конденсат газ. стаб. (Шингинское мест.)$|$Конденсат газовый стабильный (Шингинское месторождение)$|$NPR$|$241010112$|$2020-11-24 15:26:13.7333333$
$59$|$000241100001$|$Нефть сырая (КР)$|$Нефть сырая, добываемая на Крапивинском месторождении$|$NPR$|$241100001$|$2020-11-24 15:26:13.7333333$
$60$|$000241100002$|$Нефть сырая$|$Нефть сырая$|$NPR$|$241100002$|$2020-11-24 15:26:13.7333333$
$61$|$000241100003$|$Нефть сырая (Пякут)$|$Нефть сырая, добываемая на Мало- Пякутинском месторождении$|$NPR$|$241100003$|$2020-11-24 15:26:13.7333333$
$62$|$000241100004$|$Нефть сырая (Воргенская)$|$Нефть сырая (Воргенская)$|$NPR$|$241100004$|$2020-11-24 15:26:13.7333333$
$63$|$000241100005$|$Нефть сырая (Южно-Киняминское)$|$Нефть сырая, добываемая на Южно-Киняминском месторождении$|$NPR$|$241100005$|$2020-11-24 15:26:13.7333333$
$64$|$000241100006$|$Нефть сырая$|$Нефть сырая$|$NPR$|$241100006$|$2020-11-24 15:26:13.7333333$
$65$|$000241100007$|$Конденсат газовый стабильный в системе$|$Конденсат газовый стабильный в системе (трубопровод)$|$NPR$|$241100007$|$2020-11-24 15:26:13.7333333$
$66$|$000242222056$|$ОЖ ГАЗПРОМНЕФТЬ ТОСОЛ 40 1 кг$|$Охлаждающая низкозамерзающая жидкость ГАЗПРОМНЕФТЬ ТОСОЛ 40 1 кг$|$NPR$|$242222056$|$2020-11-24 15:26:13.7333333$
$67$|$000242222057$|$ОЖ ГАЗПРОМНЕФТЬ ТОСОЛ 40 3 кг$|$Охлаждающая низкозамерзающая жидкость ГАЗПРОМНЕФТЬ ТОСОЛ 40 3 кг$|$NPR$|$242222057$|$2020-11-24 15:26:13.7333333$
$68$|$000242222058$|$ОЖ ГАЗПРОМНЕФТЬ ТОСОЛ 40 5 кг$|$Охлаждающая низкозамерзающая жидкость ГАЗПРОМНЕФТЬ ТОСОЛ 40 5 кг$|$NPR$|$242222058$|$2020-11-24 15:26:13.7333333$
$69$|$000242222059$|$ОЖ ГАЗПРОМНЕФТЬ ТОСОЛ 40 10 кг$|$Охлаждающая низкозамерзающая жидкость ГАЗПРОМНЕФТЬ ТОСОЛ 40 10 кг$|$NPR$|$242222059$|$2020-11-24 15:26:13.7333333$
$70$|$000242222060$|$ОЖ ГАЗПРОМНЕФТЬ ТОСОЛ 40 220 кг$|$Охлаждающая низкозамерзающая жидкость ГАЗПРОМНЕФТЬ ТОСОЛ 40 220 кг$|$NPR$|$242222060$|$2020-11-24 15:26:13.7333333$
$71$|$000242222061$|$ОЖ ГАЗПРОМНЕФТЬ ТОСОЛ 40 220 кг$|$Охлаждающая низкозамерзающая жидкость ГАЗПРОМНЕФТЬ ТОСОЛ 40 220 кг$|$NPR$|$242222061$|$2020-11-24 15:26:13.7333333$
$72$|$000243320001$|$Реагент НАЛКО 68525$|$Реагент НАЛКО 68525$|$REAG$|$243320001$|$2020-11-24 15:26:13.7333333$
$73$|$000245500001$|$Нефть в системе$|$Нефть в системе (ЭЛОУ и трубопровод)$|$NPR$|$245500001$|$2020-11-24 15:26:13.7333333$
$74$|$000245500002$|$Нефть обессоленная и обезвоженная$|$Нефть обессоленная и обезвоженная$|$NPR$|$245500002$|$2020-11-24 15:26:13.7333333$
$75$|$000245500003$|$Нефть обессоленная$|$Нефть обессоленная$|$NPR$|$245500003$|$2020-11-24 15:26:13.7333333$
$76$|$000250000000$|$НЕФТЕПРОДУКТЫ$|$НЕФТЕПРОДУКТЫ$|$NPR$|$250000000$|$2020-11-24 15:26:13.7333333$
$77$|$000250010000$|$Топливо судовое$|$Топливо судовое$|$NPR$|$250010000$|$2020-11-24 15:26:13.7333333$
$78$|$000250010002$|$СМТ (DMA) вид Э$|$Судовое маловязкое топливо СМТ (DMA) вид Э$|$NPR$|$250010002$|$2020-11-24 15:26:13.7333333$
$79$|$000250010003$|$СМТ (DMA) вид I$|$Судовое маловязкое топливо СМТ (DMA) вид I$|$NPR$|$250010003$|$2020-11-24 15:26:13.7333333$
$80$|$000250010004$|$СМТ (DMA) вид II$|$Судовое маловязкое топливо СМТ (DMA) вид II$|$NPR$|$250010004$|$2020-11-24 15:26:13.7333333$
$81$|$000250010005$|$СМТ (DMB) вид Э$|$Судовое маловязкое топливо СМТ (DMB) вид Э$|$NPR$|$250010005$|$2020-11-24 15:26:13.7333333$
$82$|$000250010006$|$СМТ (DMB) вид I$|$Судовое маловязкое топливо СМТ (DMB) вид I$|$NPR$|$250010006$|$2020-11-24 15:26:13.7333333$
$83$|$000250010007$|$СМТ (DMB) вид II$|$Судовое маловязкое топливо СМТ (DMB) вид II$|$NPR$|$250010007$|$2020-11-24 15:26:13.7333333$
$84$|$000250010008$|$ТСУ-180 (RME-180) малосернистое$|$Топливо для судовых установок ТСУ-180 (RME-180) малосернистое$|$NPR$|$250010008$|$2020-11-24 15:26:13.7333333$
$85$|$000250010009$|$ТСУ-180 (RME-180) вид I$|$Топливо для судовых установок ТСУ-180 (RME-180) вид I$|$NPR$|$250010009$|$2020-11-24 15:26:13.7333333$
$86$|$000250010010$|$ТСУ-180 (RME-180) вид II$|$Топливо для судовых установок ТСУ-180 (RME-180) вид II$|$NPR$|$250010010$|$2020-11-24 15:26:13.7333333$
$87$|$000250010011$|$ТСУ-380 (RMG-380) малосернистое$|$Топливо для судовых установок ТСУ-380 (RMG-380) малосернистое$|$NPR$|$250010011$|$2020-11-24 15:26:13.7333333$
$88$|$000250010012$|$ТСУ-380 (RMG-380) вид I$|$Топливо для судовых установок ТСУ-380 (RMG-380) вид I$|$NPR$|$250010012$|$2020-11-24 15:26:13.7333333$
$89$|$000250010013$|$ТСУ-380 (RMG-380), вид II$|$Топливо для судовых установок ТСУ-380 (RMG-380) вид II (Д- RU.НХ20.В.00035)$|$NPR$|$250010013$|$2020-11-24 15:26:13.7333333$
$90$|$000250010014$|$ТСУ-500 (RMG-500) малосернистое$|$Топливо для судовых установок ТСУ-500 (RMG-500) малосернистое$|$NPR$|$250010014$|$2020-11-24 15:26:13.7333333$
$91$|$000250010015$|$ТСУ-500 (RMG-500), вид I$|$Топливо для судовых установок ТСУ-500 (RMG-500) вид I$|$NPR$|$250010015$|$2020-11-24 15:26:13.7333333$
$92$|$000250010016$|$ТСУ-500 (RMG-500), вид II$|$Топливо для судовых установок ТСУ-500 (RMG-500) вид II$|$NPR$|$250010016$|$2020-11-24 15:26:13.7333333$
$93$|$000250010017$|$ТСУ-700 (RMG-700) малосернистое$|$Топливо для судовых установок ТСУ-700 (RMG-700) малосернистое$|$NPR$|$250010017$|$2020-11-24 15:26:13.7333333$
$94$|$000250010018$|$ТСУ-700 (RMG-700), вид I$|$Топливо для судовых установок ТСУ-700 (RMG-700) вид I$|$NPR$|$250010018$|$2020-11-24 15:26:13.7333333$
$95$|$000250010019$|$ТСУ-700 (RMG-700), вид II$|$Топливо для судовых установок ТСУ-700 (RMG-700) вид II$|$NPR$|$250010019$|$2020-11-24 15:26:13.7333333$
$96$|$000250010020$|$СМТ (DMA) вид III$|$Судовое маловязкое топливо СМТ (DMA) вид III$|$NPR$|$250010020$|$2020-11-24 15:26:13.7333333$
$97$|$000250010021$|$СМТ (DMB) вид III$|$Судовое маловязкое топливо СМТ (DMB) вид III$|$NPR$|$250010021$|$2020-11-24 15:26:13.7333333$
$98$|$000250010022$|$СМТ (DMA), вид Э$|$Судовое маловязкое топливо СМТ (DMA), вид Э$|$NPR$|$250010022$|$2020-11-24 15:26:13.7333333$
$99$|$000250010023$|$СМТ (DMA), вид I$|$Судовое маловязкое топливо СМТ (DMA), вид I$|$NPR$|$250010023$|$2020-11-24 15:26:13.7333333$
$100$|$000250010024$|$СМТ (DMA), вид II$|$Судовое маловязкое топливо СМТ (DMA), вид II$|$NPR$|$250010024$|$2020-11-24 15:26:13.7333333$
$101$|$000250010025$|$СМТ (DMA), вид III$|$Судовое маловязкое топливо СМТ (DMA), вид III$|$NPR$|$250010025$|$2020-11-24 15:26:13.7333333$
$102$|$000250010026$|$ТСУ-380 (RMG-380), вид I (ОНПЗ)$|$Топливо для судовых установок ТСУ-380 (RMG-380) вид I$|$NPR$|$250010026$|$2020-11-24 15:26:13.7333333$
$103$|$000250010027$|$ТСУ-80 (RМD-80) вид Э$|$Топливо для судовых установок ТСУ-80 (RМD-80) вид Э$|$NPR$|$250010027$|$2020-11-24 15:26:13.7333333$
$104$|$000250010028$|$ТСУ-80 (RМD-80) малосернистое$|$Топливо для судовых установок ТСУ-80 (RМD-80) малосернистое$|$NPR$|$250010028$|$2020-11-24 15:26:13.7333333$
$105$|$000250010029$|$ТСУ-80 (RМD-80) вид I$|$Топливо для судовых установок ТСУ-80 (RМD-80) вид I$|$NPR$|$250010029$|$2020-11-24 15:26:13.7333333$
$106$|$000250010030$|$ТСУ-180 (RМЕ-180) вид Э$|$Топливо для судовых установок ТСУ-180 (RМЕ-180) вид Э$|$NPR$|$250010030$|$2020-11-24 15:26:13.7333333$
$107$|$000250010031$|$ТСУ-380 (RМG-380) вид Э$|$Топливо для судовых установок ТСУ-380 (RМG-380) вид Э$|$NPR$|$250010031$|$2020-11-24 15:26:13.7333333$
$108$|$000250010032$|$ТСУ-500 (RМG-500) вид Э$|$Топливо для судовых установок ТСУ-500 (RМG-500) вид Э$|$NPR$|$250010032$|$2020-11-24 15:26:13.7333333$
$109$|$000250010033$|$ТСУ-700 (RМG-700) вид Э$|$Топливо для судовых установок ТСУ-700 (RМG-700) вид Э$|$NPR$|$250010033$|$2020-11-24 15:26:13.7333333$
$110$|$000250010034$|$ТСУ Гибрид 0,5$|$Топливо для судовых установок Гибрид 0,5$|$NPR$|$250010034$|$2020-11-24 15:26:13.7333333$
$111$|$000250010035$|$ТСУ-380 (RМG-380) вид M$|$Топливо для судовых установок ТСУ-380 (RМG-380) вид М$|$NPR$|$250010035$|$2020-11-24 15:26:13.7333333$
$112$|$000250010036$|$ТСУ-80 (RMD-80) вид М$|$Топливо для судовых установок ТСУ-80 (RМD-80) вид М$|$NPR$|$250010036$|$2020-11-24 15:26:13.7333333$
$113$|$000250010037$|$ТСУ-380 спец. малосернистое$|$Топливо для судовых установок ТСУ-380 спец. малосернистое$|$NPR$|$250010037$|$2020-11-24 15:26:13.7333333$
$114$|$000250010038$|$ТСУ-380 спец. вид I$|$Топливо для судовых установок ТСУ-380 спец. вид I$|$NPR$|$250010038$|$2020-11-24 15:26:13.7333333$
$115$|$000250010039$|$ТСУ-380 спец. вид Э$|$Топливо для судовых установок ТСУ-380 спец. вид Э$|$NPR$|$250010039$|$2020-11-24 15:26:13.7333333$
$116$|$000250010040$|$ТСУ-380 спец. вид M$|$Топливо для судовых установок ТСУ-380 спец. вид М$|$NPR$|$250010040$|$2020-11-24 15:26:13.7333333$
$117$|$000250010041$|$ТСУ-180 (RМЕ-180) вид М$|$Топливо для судовых установок ТСУ-180 (RМЕ-180) вид М$|$NPR$|$250010041$|$2020-11-24 15:26:13.7333333$
$118$|$000250010042$|$Компонент ТСУ-180 (RМЕ-180)$|$Компонент топлива для судовых установок ТСУ-180 (RME-180)$|$PFAB$|$250010042$|$2020-11-24 15:26:13.7333333$
$119$|$000251000000$|$НЕФТЕПРОДУКТЫ СВЕТЛЫЕ$|$НЕФТЕПРОДУКТЫ СВЕТЛЫЕ$|$NPR$|$251000000$|$2020-11-24 15:26:13.7333333$
$120$|$000251000001$|$Фр. НК-62 оС (С-100 КПА)$|$Фракция НК-62 оС секции 100 КПА$|$PFAB$|$251000001$|$2020-11-24 15:26:13.7333333$
$121$|$000251010000$|$БЕНЗИНЫ АВТОМОБИЛЬНЫЕ$|$БЕНЗИНЫ АВТОМОБИЛЬНЫЕ$|$NPR$|$251010000$|$2020-11-24 15:26:13.7333333$
$122$|$000251020000$|$ТОПЛИВО ДИЗЕЛЬНОЕ$|$ТОПЛИВО ДИЗЕЛЬНОЕ$|$NPR$|$251020000$|$2020-11-24 15:26:13.7333333$
$123$|$000251100000$|$Прямогонные бензины$|$Прямогонные бензины$|$NPR$|$251100000$|$2020-11-24 15:26:13.7333333$
$124$|$000251100001$|$Фр. НК-62оС (С-100 КПА)$|$Фракция НК-62оС секции 100 КПА - компонент сырья установки Изомалк-2, компонент товарных бензинов$|$PFAB$|$251100001$|$2020-11-24 15:26:13.7333333$
$125$|$000251100002$|$Фр. НК-62оС (АВТ-10)$|$Фракция бензиновая прямогонная НК-62оС (АВТ-10) - компонент сырья установки Изомалк-2, компонент товарных бензинов$|$PFAB$|$251100002$|$2020-11-24 15:26:13.7333333$
$126$|$000251100003$|$Фр. 62-85оС (АВТ-10) - копм. сырья$|$Фракция бензиновая прямогонная 62-85оС (АВТ-10) # компонент сырья КПА$|$PFAB$|$251100003$|$2020-11-24 15:26:13.7333333$
$127$|$000251100007$|$Бензин коксования 21-10/3М$|$Бензин коксования установки 21-10/3М - компонент сырья установки Л-35/11-600 и установок гидроочистки дизельных топлив$|$PFAB$|$251100007$|$2020-11-24 15:26:13.7333333$
$128$|$000251100008$|$Фр. 62-85 оС (С-100 КПА)$|$Фракция 62-85 оС установки С-100 КПА$|$NPR$|$251100008$|$2020-11-24 15:26:13.7333333$
$129$|$000251100012$|$Фр. бензин. стаб. НК-180 АВТ$|$Фракция бензиновая прямогонная НК-180 установки АВТ # сырье вторичных процессов$|$PFAB$|$251100012$|$2020-11-24 15:26:13.7333333$
$130$|$000251100013$|$Фр. 85-185 АВТ$|$Фракция бензиновая прямогонная 85-185оС установки АВТ-сырье вторичных процессов$|$PFAB$|$251100013$|$2020-11-24 15:26:13.7333333$
$131$|$000251100014$|$Фракция 70-150 оС УГК$|$Фракция 70-150 оС УГК – компонент товарных бензинов и сырьё установок КПА, Л-35/11-600, Л-35/11-1000$|$PFAB$|$251100014$|$2020-11-24 15:26:13.7333333$
$132$|$000251100015$|$Фр. НК-80оС (ФСБ)$|$Фракция бензиновая прямогонная НК-80оС (ФСБ) - компонент сырья КПА, АВТ-10, компонент товарных бензинов$|$PFAB$|$251100015$|$2020-11-24 15:26:13.7333333$
$133$|$000251100017$|$Фр. 85-140 г/о С-200 КПА (п/ф)$|$Фракция 85-140 оС г/о С-200 КПА (полуфабрикат)$|$PFAB$|$251100017$|$2020-11-24 15:26:13.7333333$
$134$|$000251100018$|$Фр. 65-185$|$Фракция бензиновая прямогонная 65-185 оС -сырье вторичных процессов$|$PFAB$|$251100018$|$2020-11-24 15:26:13.7333333$
$135$|$000251100031$|$Фр. 85-140 оС (С-100 КПА)$|$Фракция 85-140 оС секции 100 КПА$|$PFAB$|$251100031$|$2020-11-24 15:26:13.7333333$
$136$|$000251100032$|$Бензин кат. крекинга 43-103$|$Бензин каталитического крекинга установки 43-103 - компонент товарных бензинов$|$PFAB$|$251100032$|$2020-11-24 15:26:13.7333333$
$137$|$000251100034$|$Фр. бензин. нестаб. с.200 КТ-1/1$|$Фракция бензиновая (бензин нестабильный) с.200 КТ-1/1$|$PFAB$|$251100034$|$2020-11-24 15:26:13.7333333$
$138$|$000251100039$|$Б-н технологич.ОМСКФЬЮЕЛ 97$|$Бензин технологический ОМСКФЬЮЕЛ 97 (опытные партии)$|$NPR$|$251100039$|$2020-11-24 15:26:13.7333333$
$139$|$000251100041$|$Бензин газовый ГФУ-2$|$Бензин газовый ГФУ-2 - компонент товарных бензинов$|$PFAB$|$251100041$|$2020-11-24 15:26:13.7333333$
$140$|$000251100042$|$Бензин газовый (АГФУ)$|$Бензин газовый (АГФУ) - компонент товарных бензинов$|$PFAB$|$251100042$|$2020-11-24 15:26:13.7333333$
$141$|$000251100046$|$Бензин прямогонный (нафта)$|$Бензин прямогонный (нафта)(СЭЗ № 55.ОЦ. 05.025.П.000594.10.03)$|$NPR$|$251100046$|$2020-11-24 15:26:13.7333333$
$142$|$000251100047$|$Фр. бенз. нестаб. НК-180оС (АВТ)$|$Фракция бензина нестабильная НК-180оС (АВТ-6,7,8, АТ-9)$|$PFAB$|$251100047$|$2020-11-24 15:26:13.7333333$
$143$|$000251100048$|$Фр. 62-85 оС (С-100 КПА)$|$Фракция 62-85 оС секции 100 КПА$|$PFAB$|$251100048$|$2020-11-24 15:26:13.7333333$
$144$|$000251100049$|$Фр. 85-140 г/о С-300 КПА$|$Фракция 85-140 оС г/о С-300 КПА$|$PFAB$|$251100049$|$2020-11-24 15:26:13.7333333$
$145$|$000251100051$|$Легкий платформат с.400 КПА$|$Легкий платформат секции 400 КПА$|$PFAB$|$251100051$|$2020-11-24 15:26:13.7333333$
$146$|$000251100052$|$Рафинат с.700 КПА$|$Рафинат секции 700 КПА$|$PFAB$|$251100052$|$2020-11-24 15:26:13.7333333$
$147$|$000251100053$|$Изомеризат с.800 КПА$|$Изомеризат секции 800 КПА$|$PFAB$|$251100053$|$2020-11-24 15:26:13.7333333$
$148$|$000251100057$|$Бензин-рафинат с.400 КПА$|$Бензин-рафинат секции 400 КПА$|$PFAB$|$251100057$|$2020-11-24 15:26:13.7333333$
$149$|$000251100062$|$Стабильный катализат$|$Стабильный катализат с установки Л-35-11/600$|$NPR$|$251100062$|$2020-11-24 15:26:13.7333333$
$150$|$000251100063$|$Фр. бензин. стаб. НК-180 (ФСБ) (Реагент)$|$Фракция бензиновая прямогонная НК-180оС (ФСБ) (реагент для УПНК)$|$REAG$|$251100063$|$2020-11-24 15:26:13.7333333$
$151$|$000251100064$|$Фр. 85-140оС (АВТ-10) (Реагент)$|$Фракция бензиновая прямогонная 85-140оС (АВТ-10) (реагент для УПНК)$|$REAG$|$251100064$|$2020-11-24 15:26:13.7333333$
$152$|$000251100065$|$Фракции бензиновые прямогонные$|$Фракции бензиновые прямогонные$|$PFAB$|$251100065$|$2020-11-24 15:26:13.7333333$
$153$|$000251100066$|$У/в ароматические С8 с.900В КПА$|$Углеводороды ароматические С8 секции 900В КПА$|$PFAB$|$251100066$|$2020-11-24 15:26:13.7333333$
$154$|$000251100067$|$У/в ароматические С9 с.900В КПА$|$Углеводороды ароматические С9 секции 900В КПА$|$PFAB$|$251100067$|$2020-11-24 15:26:13.7333333$
$155$|$000251100069$|$Платформат секции 300 КПА$|$Платформат секции 300 установки С-100,200,300 КПА - компонент товарных бензинов$|$PFAB$|$251100069$|$2020-11-24 15:26:13.7333333$
$156$|$000251100071$|$Фракция бензин. н/стабильная$|$Фракция бензиновая нестабильная (произво дство № 1)$|$PFAB$|$251100071$|$2020-11-24 15:26:13.7333333$
$157$|$000251100072$|$Фр.бензин.стаб.К-2 АВТ-10$|$Фракция бензина стабильного (К-2 АВТ-10) - сырье вторичных процессов$|$PFAB$|$251100072$|$2020-11-24 15:26:13.7333333$
$158$|$000251100073$|$Фр.НК-62 АВТ+КПА$|$Фр.НК-62 АВТ и КПА$|$PFAB$|$251100073$|$2020-11-24 15:26:13.7333333$
